需求编号,需求层级,所属模块,需求项,需求描述,优先级,验收要点,验收标准,验收方式,验收结果,来源文档,备注
REQ-013,系统目标,部署形态,本地优先架构,系统采用本地优先架构，默认运行于本机环境；Node.js 24+ 直接运行，无外部 npm 依赖。,必做,A1,默认仅监听本机（127.0.0.1），不自动暴露公网。,部署检查,未验收,需求文档 3.1；需求分析 一,与 README「本地优先」定位一致
REQ-014,功能需求,用户管理,用户注册,用户输入用户名、密码、邮箱（可选）；系统创建用户账户并初始化个人工作空间。,必做,A2,可用邮箱与 8 位以上密码完成注册，注册后拥有独立工作空间。,功能测试,未验收,需求文档 4.1,需求分析要求加盐密码哈希、服务端会话
REQ-015,功能需求,用户管理,用户登录,支持用户身份验证、登录状态保持、数据隔离。,必做,A2,密码正确可登录并保持会话；不同账号之间数据互不可见。,功能测试,未验收,需求文档 4.1,需求分析：登录后进入个人工作台；密码错误给出提示
REQ-016,功能需求,用户管理,用户个人空间,用户可管理自己的简历数据、投递记录、AI 配置、图片素材。,必做,A2 / A4 / A5,四类个人数据均按账号归属校验，跨账号不可读写。,功能测试,未验收,需求文档 4.1,含 DeepSeek 密钥等 AI 配置
REQ-017,功能需求,岗位库,岗位库数据规模,当前岗位库包含约 6373 条岗位数据，覆盖约 40 家企业／集团。,重要,A3,岗位库可展示符合来源规则的岗位总量，并显示企业与行业分布。,数据核对,未验收,需求文档 4.2,需求分析文档仍写「196 条（百度159+腾讯音乐37）」，为早期口径；现口径为 6373 条／约40家，以需求文档为准
REQ-018,功能需求,岗位库,岗位展示字段,每条岗位包含：企业名称（招聘企业）、岗位名称（具体职位）、行业方向（岗位类别）、工作地点 Base（城市）、招聘来源（官方链接）、岗位编号（唯一标识）。,必做,A3,六类字段在列表与详情中均可查看，岗位编号唯一。,数据核对,未验收,需求文档 4.2,—
REQ-019,功能需求,岗位库,岗位搜索,支持企业搜索、行业筛选、地区筛选、关键词检索。,必做,A3,四类筛选可单独或组合使用，结果与条件一致。,功能测试,未验收,需求文档 4.2,README 另支持来源筛选与企业性质筛选，属实现扩展
REQ-020,功能需求,岗位库,岗位详情,展示岗位描述、任职要求、招聘链接、投递入口。,必做,A3,详情页可看到 JD 正文、要求、官方链接与投递入口。,功能测试,未验收,需求文档 4.2,投递发生在企业／西北大学官方页面
REQ-021,功能需求,投递管理,收藏岗位,用户可以收藏感兴趣岗位并添加备注。,必做,A4,收藏后可写备注，数据持久保存并在个人清单中可见。,功能测试,未验收,需求文档 4.3,收藏不向企业提交申请
REQ-022,功能需求,投递管理,投递状态管理,支持状态流转：未投递 → 准备投递 → 已投递 → 笔试 → 面试 → Offer → 拒绝。,必做,A4,七种状态可依次或跳跃设置，当前状态在清单中正确显示。,功能测试,未验收,需求文档 4.3,需求分析要求可关联简历快照与投递／跟进时间
REQ-023,功能需求,投递管理,投递记录字段,投递记录保存：公司、岗位、投递日期、使用简历版本、当前状态、后续计划。,必做,A4,六类字段均可录入并持久保存。,数据核对,未验收,需求文档 4.3,—
REQ-024,功能需求,简历工作室,简历编辑,支持基本信息编辑、教育经历、项目经历、技能信息、自我评价。,必做,A5,五类模块均可编辑，输入即时反映到预览。,功能测试,未验收,需求文档 4.4,README 另含实习/工作、荣誉模块
REQ-025,功能需求,简历工作室,模板管理,系统提供多种简历模板、模板切换、样式调整；当前内置 11 套模板，其中部分基于公开 ResumeCollection 素材适配。,重要,A5,11 套模板均可选用并随时切换，切换不改变内容。,功能测试,未验收,需求文档 4.4,5 套来自 ResumeCollection，6 套为项目自有（含 3 套原有 + 3 套变体），以《简历工作室》为准
REQ-026,功能需求,简历工作室,页面布局调整,用户可以调整字号、颜色、行距、模块顺序。,重要,A5,四类排版参数可调，调整结果在预览与导出中生效。,功能测试,未验收,需求文档 4.4,另支持模块隐藏与上下移动排序
REQ-027,功能需求,简历工作室,图片管理,支持上传头像、添加作品图片、图片排序、裁剪显示。,重要,A5,头像可上传／更换／移除；作品图最多 3 张，支持排序与取景调整。,功能测试,未验收,需求文档 4.4,需求分析未细化；限制 JPG/PNG/WebP、单张 ≤8MB，头像 ≤180KB、配图 ≤300KB
REQ-028,功能需求,简历工作室,历史版本,系统支持保存版本、恢复历史版本、撤销／重做。,重要,A5,版本可保存与恢复，恢复后生成新版本而非覆盖历史。,功能测试,未验收,需求文档 4.4,—
REQ-029,功能需求,简历导出,JSON 导出／导入,以 JSON 作为数据备份格式，支持导出与再次导入。,必做,A5,导出的 JSON 可重新导入并还原内容与图片设置。,功能测试,未验收,需求文档 4.5,—
REQ-030,功能需求,简历导出,HTML 导出,导出独立 HTML 网页版本，内联样式、无外部字体依赖。,重要,A5,HTML 可独立打开，样式与内容完整。,功能测试,未验收,需求文档 4.5,—
REQ-031,功能需求,简历导出,PDF 导出,当前 PDF 通过浏览器打印实现；建议 A4、缩放 100%、关闭浏览器页眉页脚。,必做,A5,通过浏览器打印可另存为 PDF，分页以打印预览为准。,功能测试,未验收,需求文档 4.5,不支持 Word 导出与已有 PDF/Word 自动解析
REQ-032,功能需求,AI 简历优化,AI 输入,输入：简历文本、目标岗位 JD。,重要,A7,可选择简历段落与目标岗位（来自我的投递）。,功能测试,未验收,需求文档 4.6,不自动携带姓名、邮箱、手机等联系字段
REQ-033,功能需求,AI 简历优化,AI 生成内容,系统生成：修改建议、表达优化、技能匹配分析。,重要,A7,返回结果包含建议与匹配分析，且不虚构学历／经历／数字／技能。,人工核对,未验收,需求文档 4.6；需求分析 三,AI 可能出错，须本人核对
REQ-034,功能需求,AI 简历优化,AI 输出与用户确认流程,输出流程：原文本 → AI 建议 → 优化文本 → 用户确认。,必做,A7,仅在用户确认后调用；采纳前可查看原文、改写与待补充事实。,功能测试,未验收,需求文档 4.6；需求分析 三,无密钥时明确提示，不返回模拟结果
REQ-035,功能需求,AI 简历优化,AI 结果记录与采纳,支持前后对比、手动采纳、历史记录。,必做,A7,采纳后写入简历并生成新版本；生成记录保留原始版本、原文与建议；原文变化时阻止覆盖并提示手动合并。,功能测试,未验收,需求文档 4.6；需求分析 三,—
REQ-036,功能需求,日程管理,添加任务,包括：笔试时间、面试时间、投递截止日期、跟进提醒。,重要,A6,四类待办均可新增并关联投递。,功能测试,未验收,需求文档 4.7,—
REQ-037,功能需求,日程管理,日历查看,支持日期展示、任务列表、状态标记。,重要,A6,月历可切换日期查看当天任务，并标记完成状态。,功能测试,未验收,需求文档 4.7,仅站内记录，不发短信、邮件或系统推送
REQ-038,功能需求,品牌主页,主页与工作台入口,主页保留蓝白 Hero、滚动切换与人物动画，提供工作台入口。,重要,A1,主页可访问，主按钮进入真实工作台；入口地址为 /workspace/。,功能测试,未验收,需求分析 三,—
REQ-039,非功能需求,性能,页面响应时间,页面响应时间 < 2s。,重要,A1 / A3,主页、工作台、岗位库、简历工作室在正常本机环境下响应时间小于 2 秒。,性能测试,未验收,需求文档 5.1,需实际计时验证，当前未测
REQ-040,非功能需求,性能,长期数据存储,支持个人长期数据存储。,必做,A8,账号、简历、投递、待办写入本机 SQLite 并长期保留，重启服务后不丢失。,数据核对,未验收,需求文档 5.1,—
REQ-041,非功能需求,性能,简历编辑流畅度,保证简历编辑流畅。,重要,A5,文本输入即时更新预览，无明显卡顿。,人工体验,未验收,需求文档 5.1,—
REQ-042,非功能需求,安全,用户数据隔离,用户数据隔离。,必做,A2,每个账号只能读写自己的简历、投递、待办与 AI 设置。,安全核查,未验收,需求文档 5.2；需求分析 四,服务端做账号归属校验
REQ-043,非功能需求,安全,密码安全存储,密码安全存储。,必做,A2,密码以加盐哈希形式存储，不保存明文。,安全核查,未验收,需求文档 5.2；需求分析 四,—
REQ-044,非功能需求,安全,API 密钥加密保存,API 密钥加密保存；DeepSeek 密钥采用 AES-256-GCM 加密保存在服务端。,必做,A7,密钥加密落库、不返回前端、不写入日志；加密文件与数据库分开存放。,安全核查,未验收,需求文档 5.2；需求分析 四,能读取整个 storage 目录者仍可能解密，需妥善保管
REQ-045,非功能需求,数据安全,本地数据库持久化,本地数据库持久化。,必做,A8,数据写入本机 SQLite 文件，重启服务后数据仍在。,数据核对,未验收,需求文档 5.3,—
REQ-046,非功能需求,数据安全,用户数据备份,用户数据备份：设置页可导出投递、待办、简历；完整迁移需停服复制整个 storage 目录。,重要,A8,导出文件不含密码与 API 密钥；按文档可完成完整迁移。,功能测试,未验收,需求文档 5.3；需求分析 三、七.6,不要只复制正在写入的 SQLite 主文件
REQ-047,非功能需求,数据安全,防止未授权访问,防止未授权访问。,必做,A2,未登录不可读取他人数据；正式上线需 HTTPS、APP_ORIGIN、COOKIE_SECURE=true。,安全核查,未验收,需求文档 5.3；需求分析 四,当前为本地版本，尚未公网部署
REQ-048,非功能需求,可用性,易用性要求,启动简单；简历实时预览；DeepSeek 润色提供前后对比。,重要,A1 / A5 / A7,无需 npm install 与编译步骤即可启动；预览实时刷新；润色提供原文与改写对照。,人工体验,未验收,需求分析 四,—
REQ-049,非功能需求,数据原则,不虚构数据,缺失字段保持空值，不虚构薪资、学历、截止日期、招聘人数。,必做,A3,岗位库中未公布字段留空，页面不推算、不编造。,数据核对,未验收,需求分析 四；需求文档 4.2,—
REQ-050,架构需求,系统架构,总体架构,用户浏览器 → Offerbiu Web 前端 → Node.js 服务层 → 分支为 SQLite（用户数据）/ 文件存储 / AI 接口（DeepSeek API）。,重要,A1,各层职责清晰，前后端同源通信，无外部 npm 依赖与构建步骤。,架构走查,未验收,需求文档 6.1,实现对应 server/index.mjs、server/routes.mjs、server/db.mjs、server/deepseek.mjs
REQ-051,边界约束,交付边界,未测试、未验收声明,项目已开发，但未执行编译、测试、浏览器验收或真实 AI 调用，不使用 TDD，尚未公网部署。,必做,A9,文档与交付说明明确标注「已开发、未测试」，不宣称通过测试或生产验收。,文档核对,未验收,需求分析 五；需求文档（实施方案）,不得宣称已验证所有屏幕尺寸与浏览器表现
REQ-052,边界约束,外部依赖,DeepSeek 依赖,DeepSeek 功能需要用户自己的有效密钥和额度，尚未实调。,重要,A7,无有效密钥时页面明确提示配置，不返回模拟结果。,功能测试,未验收,需求分析 五,模型默认 deepseek-flash，可选 deepseek-v4-pro
REQ-053,边界约束,数据边界,岗位数据为采集快照,招聘数据是采集快照，不是全行业覆盖；岗位状态以用户打开投递页时为准。,重要,A3,数据目录带采集日期，页面标注采集时间与来源，不承诺持续实时更新。,数据核对,未验收,需求分析 五,旧口径「196 是职位数不是企业数」已更新为 6373 条／约 40 家
REQ-054,边界约束,功能边界,导出与解析限制,不支持 Word 导出、已有 PDF/Word 自动解析或文件上传；导出仅 JSON、HTML 与浏览器打印 PDF。,重要,A5,上述不支持项在界面与文档中有明确说明，不提供半成品入口。,文档核对,未验收,需求分析 一、三、七.6,—
REQ-055,验收结论,总体结论,验收前置条件,以上均需实际测试后确认，当前不宣称生产可用。,必做,A9,完成主页/工作台/岗位库访问、账号隔离、岗位筛选、投递绑定、简历导出、日程、DeepSeek 行为、备份导出共 8 项实测后方可判定通过。,人工验收,未验收,需求分析 六,建议按《Offerbiu-验收要点清单.csv》逐条执行
